title,description,about,amount,location,level,eligibility,required,tags,link,sponsor,category

"MTN Foundation Science & Technology Scholarship","Supports Nigerian students in science and technology fields.","Provides financial aid to high-performing students in public tertiary institutions across Nigeria, focusing on STEM disciplines.",2000,"Nigeria","Undergraduate","Nigerian citizenship; Enrolled in public university; STEM major","Academic transcripts; ID; Admission letter","Nigeria,STEM,undergraduate,sponsored,featured","https://www.mtn.ng/foundation/education/","MTN Foundation","Field-Specific"
"Knight-Hennessy Scholars Program","Stanford-based scholarship for global graduate students.","Offers full funding and leadership training for students pursuing graduate degrees at Stanford University.",65000,"USA","Graduate","Strong academics; Leadership potential; Admission to Stanford","Stanford admission; Online application; Essays","USA,graduate,leadership,competitive,featured","https://knight-hennessy.stanford.edu/","Stanford University","Merit-Based"
"Jim Ovia Foundation Leaders Scholarship","Empowers young Africans through education.","Covers tuition and living expenses for undergraduate students in select African universities.",3000,"Africa","Undergraduate","African citizenship; Academic excellence; Leadership traits","Application form; Academic records; Essay","Africa,undergraduate,leadership,sponsored,regional","https://www.jimoviafoundation.org/","Jim Ovia Foundation","Leadership-Based"
"Australia Awards Scholarships","Australian government scholarships for developing countries.","Supports postgraduate studies in Australia to build capacity and foster international cooperation.",40000,"Australia","Graduate","Citizens of eligible developing countries; Work experience","Online application; Academic records; References","Australia,graduate,development,government,sponsored","https://www.dfat.gov.au/people-to-people/australia-awards/","Australian Government","Development-Focused"
"Shell Nigeria University Scholarship","Supports Nigerian students in tertiary institutions.","Annual scholarship for students in Nigerian universities studying engineering and sciences.",1500,"Nigeria","Undergraduate","Nigerian citizenship; Enrolled in accredited university; STEM field","Academic transcripts; Admission letter; ID","Nigeria,undergraduate,engineering,sponsored,field-specific","https://www.shell.com.ng/sustainability/education-programmes.html","Shell Nigeria","Field-Specific"
"Yale Young Global Scholars","Pre-college academic enrichment for high school students.","Two-week summer program at Yale University for outstanding high school students worldwide.",6000,"Global","High School","Ages 15–18; Strong academics; English proficiency","Online application; Essays; Recommendations","global,highschool,competitive,featured,academic","https://globalscholars.yale.edu/","Yale University","Enrichment"
"Agbami Medical & Engineering Scholarship","Chevron-sponsored scholarship for Nigerian students.","Targets students in medicine and engineering disciplines in Nigerian universities.",2000,"Nigeria","Undergraduate","Nigerian citizenship; Medicine or engineering major","Academic transcripts; Admission letter","Nigeria,undergraduate,engineering,medical,sponsored","https://www.chevron.com/sustainability/education","Chevron Nigeria","Field-Specific"
"UNICEF Youth Education Grant","Supports youth-led education initiatives.","Funding for youth organizations or individuals promoting education access in underserved communities.",5000,"Global","Non-Degree","Youth-led initiative; Education focus; Impact potential","Project proposal; Budget; References","global,education,youth,nondegree,sponsored","https://www.unicef.org/partnerships/youth-grants","UNICEF","Community-Based"
"Women Techmakers Scholarship","Google scholarship for women in tech.","Encourages women pursuing computer science degrees with financial support and community engagement.",10000,"Global","Undergraduate","Female; Enrolled in CS program; Leadership potential","Resume; Transcript; Essay","tech,women,undergraduate,diversity,sponsored,featured","https://www.womentechmakers.com/scholarship","Google","Tech-Focused"
"Tony Elumelu Foundation Entrepreneurship Program","Seed funding and training for African entrepreneurs.","Provides mentorship, business training, and $5000 seed capital to selected entrepreneurs.",5000,"Africa","Non-Degree","African citizenship; Business idea; Age 18–35","Business plan; Application form","Africa,entrepreneurship,nondegree,sponsored,competitive","https://www.tonyelumelufoundation.org/","Tony Elumelu Foundation","Entrepreneurship"
